cbsa_2020_id,cbsa_income_2022
33020,51745
32540,53054
15680,113668
36740,71551
17900,63471
39580,91818
24020,71380
46540,66823
10380,19455
22700,65335
44780,62281
22100,53083
24620,51975
33300,51988
36420,67963
15220,53792
22780,62541
18660,65029
26220,80254
47620,57925
49080,75574
46100,58259
25060,58287
30260,64914
43300,66608
23900,78975
20740,70009
35740,63350
49260,60873
40530,58168
24340,76898
16820,86188
24180,80013
27160,56549
37460,65999
16940,76282
43620,78552
12180,63227
38580,54605
12580,94167
22860,56547
24540,89182
17500,49259
39020,46360
21340,55344
40860,62641
41500,91043
37260,44852
42780,65914
38740,46581
23380,60814
28380,44868
14740,93675
29420,53592
37140,57960
26140,52569
20140,46411
46520,99816
29940,66153
23580,74153
36140,83870
37540,48025
37800,74193
11860,55281
27060,69995
34420,56096
43100,68969
22620,39822
46060,64323
21980,69922
42740,57581
10700,58272
20060,46936
38180,83641
40540,79375
45900,73845
27180,55807
29740,51232
31300,39393
10420,68647
16220,69104
21860,61674
28260,70727
26860,57170
14500,99770
22060,78214
28420,82146
33100,69085
23460,52177
28300,76551
46220,58132
10180,61924
40460,42354
32180,55396
28500,66713
40340,86788
46340,69053
25780,48340
47380,59193
20940,53847
23340,66793
11100,64147
17580,55427
21260,66800
33660,55247
36660,44478
10940,57934
12120,41153
33980,66965
39860,78338
44420,67711
18820,62937
36837,67181
40780,52259
31020,70912
34340,52743
40220,65687
46980,54117
13220,48859
24900,35452
34540,71246
46900,50769
31420,54700
40300,75782
19420,55568
25180,72751
37220,53602
21660,65157
22220,73316
22820,70471
40820,37001
38100,54220
47340,66194
40420,63834
41140,61030
41220,68104
34100,52913
35020,37726
19760,68525
21460,62199
16020,62671
34620,53377
36980,64366
46860,67983
47900,119803
10460,50833
12980,58191
30820,59011
41540,72964
11780,53663
15980,69368
26580,55964
31980,53033
32000,53532
13420,62173
45980,42616
23060,66758
31580,54466
32940,45386
48660,60641
12700,90447
15740,53901
17740,60600
19700,38241
21020,60668
34780,50289
19780,81103
17640,20123
28900,57219
18460,61292
28540,82763
47940,66732
28580,80111
46460,50638
20980,49745
26620,78521
34500,58384
36540,79634
43940,62977
15460,58890
32820,62178
31940,58291
13180,71747
26300,54229
19220,53228
31140,69771
40060,80877
48220,58669
24380,49866
36460,56889
43260,68898
18980,58119
41780,65171
12020,59130
28820,43063
15540,86183
20260,67612
31220,60744
34220,47235
36700,41020
10300,65484
14160,68074
18180,88806
29980,51038
23140,59515
28940,66715
12620,59438
20900,59712
44900,43556
45140,52410
10740,63971
47980,67993
36940,79722
13260,64210
29060,80719
40700,56440
42900,64050
13460,82042
16060,53747
38700,68175
14300,65835
25620,55078
35620,93610
43660,58932
49380,62973
29180,58150
17380,37845
21220,87631
31340,64307
39820,68347
43980,61756
45380,56933
13820,68329
23180,64669
30900,55862
32740,58734
10820,72472
26540,59894
29340,64764
29900,41948
31660,60270
41740,96974
16340,51956
32100,63115
17140,76247
19430,67088
26740,57390
25580,61502
27660,52470
29100,69043
35980,84755
29780,42301
24060,86831
25300,62527
29300,52767
39660,68363
13700,67243
22340,38255
46820,55963
11580,45000
49300,70320
13300,50283
16540,71808
15260,60777
17220,55838
30620,58976
22180,57488
27420,59167
30700,70899
14620,57861
44860,63766
12060,82625
13140,62427
19100,83398
31060,135801
32900,64772
44100,72445
19060,57539
31900,56557
43220,74388
37620,54175
19740,96920
26460,81741
27460,54625
19660,64197
32140,68919
14860,107351
38780,52644
36100,55265
17460,66481
18860,61149
40100,35979
14420,62211
45020,47437
13620,55247
26020,65855
27530,52987
39150,62430
42460,46748
46180,59860
13100,60035
28860,51618
38900,90451
47420,67099
16460,59099
25840,69901
25880,59425
46700,97037
12220,59288
14780,70043
15420,63555
47920,56773
28340,70286
32340,53917
44180,58291
11220,58033
35660,60379
37120,52813
21140,63978
24100,60557
32280,47769
27700,49847
28620,79742
23240,70162
41660,66832
30020,57196
33700,74872
46300,62912
47820,56081
12260,62941
39460,62164
10500,53173
27380,56971
49420,64910
15020,47069
47240,93225
10220,59457
26820,73337
33780,72573
39740,74617
10100,70693
11140,39867
16580,62281
32420,17675
19580,69302
25020,19290
30460,68089
12660,72930
18220,52219
35460,45110
16180,67465
23860,59782
47780,64113
20020,54171
24140,54323
29700,59984
38060,79935
28100,65489
35260,57585
17300,62188
43180,59955
44460,95144
14180,50012
17780,58659
25720,114857
11820,68025
27260,73194
18260,52638
20340,57065
33740,47351
36830,63105
45460,56449
49180,60145
39700,42839
44020,72446
12680,66212
23300,57527
31860,73472
39380,59436
42620,51144
10580,83360
39100,92870
38660,19867
41760,61816
40260,42846
42860,56710
11180,68107
12860,68178
30980,62910
42700,53679
44940,52942
28140,78827
45660,62476
18900,56002
31180,61535
25760,37458
33940,65033
37940,59551
18100,69943
21820,81655
49620,79183
19460,60036
21120,51499
44300,70087
45520,61316
48980,49827
34020,47322
47580,73788
11060,60954
19340,68395
38820,66108
13500,34275
29260,61946
41900,19871
47080,47430
25940,77536
15100,64438
18740,52048
36300,58339
48460,46401
49060,55726
37060,59748
16100,77458
24820,60237
24860,66226
29020,62014
38300,71283
23540,56638
38940,69429
40180,60030
41100,71976
22380,67266
37860,69374
46380,61335
27780,54221
11700,64538
10540,69523
26980,72680
45580,48740
15140,44890
22260,67990
43460,54621
43020,65222
26380,62443
35220,57632
13060,56412
34260,47403
49220,63273
17860,65863
39900,81576
48180,49055
48820,73285
40760,47919
27900,56930
42980,65609
12420,92939
32500,48460
40620,53242
42820,37180
38500,66016
25500,66823
40140,81041
19820,72456
25900,74238
37980,85555
13900,81846
24220,65971
30780,62664
20820,73181
22020,73641
27020,59483
14540,60914
30860,71739
24260,63314
